,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
0,0.001373071,0.001304746,0.001239526,0.001177541,0.001119254,0.001063472,0.001010465,0.000974781,0.000926876,0.000881105,0.000885118,0.000841726,0.00083538,0.00083853,0.000830737,0.000834498,0.000831436,0.000828115,0.000822028,0.000817393,0.000815146,0.000817141,0.000814609,0.000774372,0.000781542,0.000742894,0.000741975,0.00074235,0.000749441,0.000755144,0.000717587,0.00071274,0.000677691,0.000683524,0.000688032,0.000653678,0.000654236,0.00062173,0.000590686,0.000588424,0.000559295,0.000541189,0.000521153,0.000507364,0.000503842,0.000479051,0.000455489,0.000459114,0.000436271,0.0004397,0.00041803,0.000417288,0.000404327,0.000384432,0.000387889,0.000368874,0.000369136,0.00036701,0.00034889,0.00034678,0.000329757,0.000319894,0.000304193,0.000289227,0.000287744,0.000286468,0.000279392,0.000280569,0.000281999,0.000267926,0.000269667,0.000269047,0.000255848,0.000258397,0.000249185,0.000236923,0.000238602,0.000226805,0.000215537,0.000214233,0.000203533,0.000204891,0.000194841,0.000193838,0.000184196,0.000175077,0.000173668,0.000167842,0.000167831,0.000159509,0.000160789,0.000159409,0.000159419,0.000158543,0.000157506,0.000156855,0.000157628,0.000158954,0.000159472
1,0.000356314,0.000338837,0.000322066,0.000306188,0.000291149,0.000276676,0.000274607,0.00026091,0.000250548,0.000238206,0.000237068,0.000238508,0.000238078,0.000239389,0.0002406,0.000240071,0.000237978,0.000239908,0.000239764,0.000241645,0.000243172,0.00024134,0.000229355,0.000230284,0.000218785,0.00021792,0.00021739,0.00021671,0.00021735,0.000206687,0.000206563,0.000196294,0.000195569,0.000195233,0.000185486,0.000184203,0.000175123,0.000166518,0.000166343,0.000158049,0.000153484,0.000148413,0.000144913,0.00014366,0.000136477,0.000129732,0.000129442,0.000123087,0.000122797,0.000116667,0.000116547,0.00011332,0.000107745,0.000107848,0.000102511,0.000103287,0.000102762,9.77025E-05,9.8269E-05,9.34408E-05,9.09492E-05,8.65367E-05,8.23498E-05,8.20209E-05,8.21426E-05,8.03326E-05,8.05328E-05,8.04736E-05,7.65224E-05,7.72586E-05,7.71004E-05,7.32467E-05,7.36818E-05,7.13398E-05,6.78298E-05,6.82986E-05,6.49307E-05,6.16988E-05,6.17734E-05,5.86876E-05,5.83924E-05,5.54791E-05,5.5359E-05,5.26114E-05,4.99868E-05,5.04064E-05,4.89021E-05,4.92956E-05,4.68734E-05,4.68653E-05,4.67624E-05,4.72152E-05,4.74096E-05,4.70772E-05,4.66159E-05,4.65252E-05,4.61424E-05,4.59202E-05,4.62414E-05
2,0.000221108,0.000210224,0.000199882,0.000189998,0.000180515,0.000171516,0.000166242,0.000158235,0.000150462,0.000151661,0.000144126,0.000144973,0.000143606,0.000144387,0.000144365,0.000144909,0.000145779,0.000145277,0.0001449,0.000144583,0.000144714,0.00013761,0.000138047,0.000131195,0.000130954,0.000129954,0.00012967,0.000128441,0.00012209,0.00012228,0.000116203,0.00011581,0.000115967,0.000110207,0.000110083,0.000104621,9.94743E-05,9.857E-05,9.37203E-05,9.10766E-05,8.8133E-05,8.61018E-05,8.63973E-05,8.21242E-05,7.80519E-05,7.85959E-05,7.46746E-05,7.53709E-05,7.16699E-05,7.23063E-05,7.03516E-05,6.68343E-05,6.71579E-05,6.3864E-05,6.34575E-05,6.31472E-05,6.00478E-05,6.02538E-05,5.7298E-05,5.58037E-05,5.31579E-05,5.06458E-05,5.03498E-05,5.04584E-05,4.93698E-05,4.90381E-05,4.87393E-05,4.6332E-05,4.66093E-05,4.65164E-05,4.42001E-05,4.42136E-05,4.28396E-05,4.07197E-05,4.03869E-05,3.83743E-05,3.64723E-05,3.66624E-05,3.48649E-05,3.4559E-05,3.28375E-05,3.27451E-05,3.11302E-05,2.95867E-05,2.94252E-05,2.85689E-05,2.83903E-05,2.69723E-05,2.70394E-05,2.71588E-05,2.73192E-05,2.70647E-05,2.71063E-05,2.70127E-05,2.72618E-05,2.72598E-05,2.70359E-05,2.67965E-05,2.67532E-05
3,0.000179733,0.000170854,0.000162346,0.000154318,0.000146673,0.00014605,0.000138773,0.000133315,0.000126761,0.000126707,0.000125651,0.000126289,0.000127213,0.000127711,0.000126898,0.000127985,0.000128277,0.000129532,0.000128382,0.000129123,0.00012268,0.000121742,0.000115759,0.000115411,0.000114761,0.000114782,0.000115438,0.000109699,0.000109197,0.000103763,0.000103057,0.000102904,9.7792E-05,9.87264E-05,9.38174E-05,8.91804E-05,8.86426E-05,8.42727E-05,8.18615E-05,7.91774E-05,7.73246E-05,7.77753E-05,7.38902E-05,7.02005E-05,7.05097E-05,6.70324E-05,6.71703E-05,6.38436E-05,6.36036E-05,6.1864E-05,5.87735E-05,5.86728E-05,5.57624E-05,5.62029E-05,5.59284E-05,5.31653E-05,5.2741E-05,5.01041E-05,4.87766E-05,4.6432E-05,4.42075E-05,4.44894E-05,4.44596E-05,4.34859E-05,4.34389E-05,4.33819E-05,4.12425E-05,4.10745E-05,4.0993E-05,3.89489E-05,3.91361E-05,3.79015E-05,3.60131E-05,3.56995E-05,3.39429E-05,3.22488E-05,3.19272E-05,3.03458E-05,3.05946E-05,2.90785E-05,2.89189E-05,2.74868E-05,2.61305E-05,2.60962E-05,2.53269E-05,2.53298E-05,2.40862E-05,2.39677E-05,2.38315E-05,2.39313E-05,2.38218E-05,2.39796E-05,2.41812E-05,2.40441E-05,2.40317E-05,2.42607E-05,2.41476E-05,2.40067E-05,2.4117E-05
4,0.000154512,0.00014688,0.00013964,0.000132736,0.000126215,0.000122132,0.000116078,0.000110371,0.000110722,0.00010521,0.000105878,0.000105007,0.000105647,0.0001066,0.000106658,0.000106024,0.000106565,0.00010569,0.000106529,0.000101292,0.000101166,9.61646E-05,9.63368E-05,9.57395E-05,9.55304E-05,9.56417E-05,9.09507E-05,9.16472E-05,8.71149E-05,8.66635E-05,8.71437E-05,8.2841E-05,8.22569E-05,7.82169E-05,7.43153E-05,7.40545E-05,7.03574E-05,6.82662E-05,6.59391E-05,6.43364E-05,6.40037E-05,6.08214E-05,5.78272E-05,5.80967E-05,5.51927E-05,5.46467E-05,5.19344E-05,5.18998E-05,5.04292E-05,4.79298E-05,4.80107E-05,4.56433E-05,4.57162E-05,4.54855E-05,4.32464E-05,4.31963E-05,4.10504E-05,3.99195E-05,3.79277E-05,3.60414E-05,3.60288E-05,3.62653E-05,3.54412E-05,3.54428E-05,3.51596E-05,3.34069E-05,3.34875E-05,3.34199E-05,3.17796E-05,3.17186E-05,3.06783E-05,2.91544E-05,2.94084E-05,2.79467E-05,2.65748E-05,2.64344E-05,2.512E-05,2.51911E-05,2.39373E-05,2.40165E-05,2.28194E-05,2.16816E-05,2.17318E-05,2.10665E-05,2.1003E-05,1.99545E-05,2.00005E-05,1.99976E-05,2.00127E-05,2.00742E-05,2.02408E-05,2.01728E-05,2.03459E-05,2.03841E-05,2.04051E-05,2.05955E-05,2.04113E-05,2.06137E-05,2.05286E-05
5,0.000136839,0.000130069,0.000123624,0.000117528,0.000117269,0.000111423,0.000106772,0.000101529,0.000102232,0.000101896,0.000101426,0.000102415,0.000101821,0.000102567,0.000102496,0.000103366,0.000102373,0.00010243,9.73414E-05,9.8139E-05,9.33247E-05,9.24912E-05,9.24664E-05,9.29512E-05,9.2461E-05,8.78548E-05,8.81215E-05,8.3774E-05,8.38951E-05,8.44752E-05,8.03144E-05,8.06486E-05,7.66813E-05,7.28844E-05,7.31211E-05,6.95192E-05,6.74065E-05,6.50525E-05,6.34313E-05,6.35829E-05,6.04596E-05,5.74467E-05,5.71286E-05,5.43006E-05,5.42951E-05,5.16255E-05,5.17593E-05,5.0261E-05,4.7768E-05,4.7738E-05,4.5374E-05,4.54627E-05,4.52283E-05,4.297E-05,4.30858E-05,4.0952E-05,3.97982E-05,3.78282E-05,3.5948E-05,3.56177E-05,3.58153E-05,3.49842E-05,3.4805E-05,3.50618E-05,3.33121E-05,3.33112E-05,3.32439E-05,3.16117E-05,3.16673E-05,3.06034E-05,2.90988E-05,2.91044E-05,2.76636E-05,2.63032E-05,2.62837E-05,2.497E-05,2.51839E-05,2.39463E-05,2.37541E-05,2.25758E-05,2.14479E-05,2.16378E-05,2.09595E-05,2.10656E-05,2.00226E-05,1.99792E-05,2.00544E-05,2.00947E-05,2.01587E-05,2.02183E-05,2.00832E-05,2.01085E-05,2.02416E-05,2.03618E-05,2.01743E-05,2.00851E-05,1.99283E-05,1.99841E-05,1.99585E-05
6,0.000124592,0.000118393,0.00011251,0.0001069,0.000103262,9.81561E-05,9.33209E-05,9.38417E-05,8.91642E-05,8.90485E-05,8.9607E-05,8.90354E-05,8.84166E-05,8.75634E-05,8.78515E-05,8.78033E-05,8.85308E-05,8.41862E-05,8.47395E-05,8.0521E-05,8.11626E-05,8.03968E-05,7.98705E-05,8.00509E-05,7.6074E-05,7.61693E-05,7.24332E-05,7.31332E-05,7.24377E-05,6.88152E-05,6.94309E-05,6.59609E-05,6.27116E-05,6.30995E-05,5.99942E-05,5.81202E-05,5.60371E-05,5.45999E-05,5.44848E-05,5.17653E-05,4.91816E-05,4.89396E-05,4.65307E-05,4.66553E-05,4.43642E-05,4.46694E-05,4.33418E-05,4.11977E-05,4.12423E-05,3.91862E-05,3.95118E-05,3.93027E-05,3.73482E-05,3.75339E-05,3.56675E-05,3.4638E-05,3.293E-05,3.13023E-05,3.15051E-05,3.15267E-05,3.0776E-05,3.05742E-05,3.06931E-05,2.91838E-05,2.89209E-05,2.88611E-05,2.74232E-05,2.75186E-05,2.65693E-05,2.52448E-05,2.51999E-05,2.39625E-05,2.27663E-05,2.27133E-05,2.15891E-05,2.14182E-05,2.03678E-05,2.02623E-05,1.92513E-05,1.82922E-05,1.81414E-05,1.75582E-05,1.75677E-05,1.67016E-05,1.67575E-05,1.67265E-05,1.65964E-05,1.67064E-05,1.65509E-05,1.64422E-05,1.64496E-05,1.64571E-05,1.63595E-05,1.64215E-05,1.64101E-05,1.646E-05,1.63266E-05,1.63864E-05,1.64673E-05
7,0.000116251,0.000110456,0.00010498,0.000104361,9.92299E-05,9.50921E-05,9.04269E-05,9.0368E-05,9.08701E-05,8.99879E-05,9.00202E-05,8.95269E-05,8.90955E-05,8.93983E-05,9.00758E-05,9.08767E-05,8.63624E-05,8.70023E-05,8.27109E-05,8.25316E-05,8.21897E-05,8.14385E-05,8.1973E-05,7.78932E-05,7.80407E-05,7.41623E-05,7.46248E-05,7.41885E-05,7.05234E-05,7.11031E-05,6.75553E-05,6.41797E-05,6.43642E-05,6.115E-05,5.92878E-05,5.72175E-05,5.57887E-05,5.61002E-05,5.33224E-05,5.06922E-05,5.0423E-05,4.7912E-05,4.76903E-05,4.53068E-05,4.49876E-05,4.3685E-05,4.1529E-05,4.1546E-05,3.95074E-05,3.96784E-05,3.94749E-05,3.75038E-05,3.77311E-05,3.58488E-05,3.48442E-05,3.31258E-05,3.15016E-05,3.16013E-05,3.16137E-05,3.08804E-05,3.06048E-05,3.0475E-05,2.89687E-05,2.87426E-05,2.86845E-05,2.72621E-05,2.74233E-05,2.6503E-05,2.51797E-05,2.52366E-05,2.39929E-05,2.28158E-05,2.26045E-05,2.14871E-05,2.16669E-05,2.06047E-05,2.05389E-05,1.95193E-05,1.85597E-05,1.84732E-05,1.7896E-05,1.79223E-05,1.70358E-05,1.68689E-05,1.69368E-05,1.70721E-05,1.71433E-05,1.73075E-05,1.73661E-05,1.72054E-05,1.71739E-05,1.72865E-05,1.71799E-05,1.73163E-05,1.74852E-05,1.75668E-05,1.76085E-05,1.77684E-05,1.78834E-05
8,0.000110254,0.000104756,9.9611E-05,9.64297E-05,9.1643E-05,8.71357E-05,8.64783E-05,8.21905E-05,8.21192E-05,8.19821E-05,8.17567E-05,8.14166E-05,8.15889E-05,8.11745E-05,8.05338E-05,7.65413E-05,7.70537E-05,7.32764E-05,7.26367E-05,7.28339E-05,7.32186E-05,7.29814E-05,6.93897E-05,6.90116E-05,6.5583E-05,6.501E-05,6.49206E-05,6.16988E-05,6.16882E-05,5.86521E-05,5.57197E-05,5.60501E-05,5.32716E-05,5.17145E-05,4.99796E-05,4.87791E-05,4.8349E-05,4.59728E-05,4.36883E-05,4.33861E-05,4.12343E-05,4.11431E-05,3.91059E-05,3.94494E-05,3.83538E-05,3.64664E-05,3.67185E-05,3.49112E-05,3.47778E-05,3.46086E-05,3.28832E-05,3.31248E-05,3.14972E-05,3.06509E-05,2.91545E-05,2.7736E-05,2.77461E-05,2.77807E-05,2.71611E-05,2.72234E-05,2.71237E-05,2.5789E-05,2.55355E-05,2.54865E-05,2.42337E-05,2.42891E-05,2.35074E-05,2.23506E-05,2.23112E-05,2.11977E-05,2.01579E-05,2.02789E-05,1.9277E-05,1.93884E-05,1.84235E-05,1.85823E-05,1.76662E-05,1.67971E-05,1.69505E-05,1.64429E-05,1.64534E-05,1.56374E-05,1.57749E-05,1.56273E-05,1.57776E-05,1.58814E-05,1.59637E-05,1.59239E-05,1.59587E-05,1.60378E-05,1.60918E-05,1.61166E-05,1.606E-05,1.6052E-05,1.5929E-05,1.58883E-05,1.57501E-05,1.56306E-05,1.54956E-05
9,0.000107566,0.000102277,0.000102556,9.74549E-05,9.36378E-05,8.90237E-05,8.84041E-05,8.9142E-05,8.91212E-05,8.93803E-05,8.97525E-05,8.96633E-05,8.93457E-05,8.98251E-05,8.53886E-05,8.53701E-05,8.11636E-05,8.13061E-05,8.10672E-05,8.0369E-05,8.04468E-05,7.64927E-05,7.68259E-05,7.30076E-05,7.2542E-05,7.27891E-05,6.91625E-05,6.92503E-05,6.58431E-05,6.25786E-05,6.20356E-05,5.89603E-05,5.72729E-05,5.53941E-05,5.40895E-05,5.38546E-05,5.11675E-05,4.86247E-05,4.87537E-05,4.63339E-05,4.67671E-05,4.44331E-05,4.44485E-05,4.32434E-05,4.11068E-05,4.09452E-05,3.89222E-05,3.8623E-05,3.84413E-05,3.65276E-05,3.65416E-05,3.47335E-05,3.38211E-05,3.22073E-05,3.06758E-05,3.0435E-05,3.01924E-05,2.95339E-05,2.97626E-05,2.97111E-05,2.82346E-05,2.82992E-05,2.82476E-05,2.68457E-05,2.666E-05,2.58205E-05,2.45302E-05,2.45499E-05,2.33403E-05,2.21891E-05,2.22098E-05,2.10992E-05,2.10634E-05,2.00276E-05,2.0114E-05,1.912E-05,1.81676E-05,1.80146E-05,1.74871E-05,1.73777E-05,1.65097E-05,1.65631E-05,1.65799E-05,1.65993E-05,1.67549E-05,1.6719E-05,1.68457E-05,1.70132E-05,1.71558E-05,1.70352E-05,1.70465E-05,1.69038E-05,1.69685E-05,1.70355E-05,1.70438E-05,1.68815E-05,1.69155E-05,1.6929E-05,1.69375E-05
