,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
0,-6.590705463,-6.64174681,-6.6930263,-6.744326979,-6.795092536,-6.846215827,-6.897344834,-6.933297354,-6.983690374,-7.034333647,-7.029789693,-7.080055862,-7.087623274,-7.083860008,-7.093196737,-7.08868012,-7.092355896,-7.096358558,-7.103735852,-7.109390195,-7.112143752,-7.109699095,-7.112802504,-7.163458599,-7.154241662,-7.204956557,-7.206194959,-7.205689762,-7.196183322,-7.188602194,-7.239616347,-7.246393238,-7.296819183,-7.288249319,-7.281675525,-7.332895736,-7.332042784,-7.383005324,-7.43422654,-7.438063205,-7.488833265,-7.521741936,-7.559467693,-7.586281268,-7.59324867,-7.643704033,-7.694137921,-7.686211609,-7.737247006,-7.729418333,-7.779957259,-7.781734872,-7.813286062,-7.863742949,-7.854791965,-7.905054963,-7.904344781,-7.910122636,-7.96075491,-7.966820943,-8.017153458,-8.047522023,-8.097849426,-8.148298095,-8.153437982,-8.157883135,-8.182894452,-8.178692154,-8.173606171,-8.22479989,-8.218323259,-8.220623559,-8.270926764,-8.261012323,-8.297315556,-8.347773656,-8.340715395,-8.391418069,-8.442377141,-8.448445329,-8.499680251,-8.493034607,-8.543325331,-8.548486776,-8.599511681,-8.650283792,-8.658365317,-8.692487863,-8.692555075,-8.743412691,-8.73541786,-8.744037649,-8.743974452,-8.749487524,-8.75604821,-8.760186686,-8.755275149,-8.746896004,-8.743643562
1,-7.939697548,-7.98999285,-8.040755603,-8.091311277,-8.141675393,-8.192662747,-8.20017113,-8.251336703,-8.291860137,-8.342375953,-8.34716503,-8.341106053,-8.342911523,-8.33742104,-8.332372706,-8.334576485,-8.343332568,-8.335254233,-8.335855922,-8.328042523,-8.321740673,-8.329302639,-8.380239328,-8.376198701,-8.427422684,-8.431381431,-8.433819071,-8.43694927,-8.434000134,-8.484303151,-8.484903224,-8.535896241,-8.539595736,-8.541317763,-8.592529495,-8.599474604,-8.650021732,-8.700409201,-8.701456444,-8.75260668,-8.781916045,-8.815509476,-8.839377592,-8.848060862,-8.899358098,-8.950036061,-8.952277717,-9.002617741,-9.004978377,-9.056188427,-9.057213096,-9.08529752,-9.135740413,-9.134792073,-9.185543667,-9.178003361,-9.183096934,-9.233583298,-9.227802119,-9.278181957,-9.305209616,-9.354942169,-9.404534778,-9.408537011,-9.407054384,-9.429335266,-9.426845927,-9.427581234,-9.477927633,-9.468352958,-9.470401669,-9.521676875,-9.515755238,-9.548056517,-9.598508246,-9.591620762,-9.642190214,-9.693246743,-9.692038483,-9.743281471,-9.748323989,-9.799504371,-9.801670483,-9.852577936,-9.903751484,-9.895393248,-9.925691044,-9.917675676,-9.968060442,-9.968233416,-9.970431341,-9.960793827,-9.956685701,-9.96372233,-9.973568267,-9.975516431,-9.983778321,-9.988604676,-9.981634217
2,-8.416857706,-8.467335628,-8.517784443,-8.568497358,-8.61969792,-8.670832238,-8.702064156,-8.751431677,-8.8018033,-8.79386178,-8.844819468,-8.838965355,-8.848437502,-8.843012835,-8.843168626,-8.839401605,-8.833415373,-8.836867179,-8.839465014,-8.841658679,-8.840753021,-8.89108749,-8.887914679,-8.938827417,-8.940667455,-8.948331266,-8.950515534,-8.960041211,-9.010753101,-9.009197229,-9.060167655,-9.063557472,-9.062207864,-9.113153761,-9.114279233,-9.165170755,-9.215610746,-9.224743609,-9.275195973,-9.303809348,-9.336663294,-9.359979863,-9.356553584,-9.407277529,-9.458136903,-9.451190413,-9.502369898,-9.49308928,-9.543439767,-9.534599461,-9.562005734,-9.61329393,-9.608464417,-9.658754753,-9.66514082,-9.670042429,-9.720369886,-9.716945478,-9.767245392,-9.793669826,-9.84224361,-9.890654213,-9.896515969,-9.894362297,-9.916171464,-9.922912481,-9.929025138,-9.979678427,-9.973709802,-9.975705413,-10.02678446,-10.02647702,-10.05804704,-10.10879873,-10.11700563,-10.16812223,-10.21895638,-10.21375971,-10.26402936,-10.27284397,-10.32394063,-10.32675869,-10.37733335,-10.42818403,-10.433659,-10.46319105,-10.46946408,-10.52069952,-10.51821632,-10.51381025,-10.50791909,-10.51728168,-10.51574279,-10.51920291,-10.51002552,-10.51009611,-10.51834416,-10.52724018,-10.52885697
3,-8.624037981,-8.674700454,-8.725783207,-8.776492643,-8.827304639,-8.831559926,-8.882672743,-8.922793704,-8.973205154,-8.97363157,-8.982000133,-8.97693641,-8.969650608,-8.965739227,-8.972123169,-8.963595763,-8.961316039,-8.951583228,-8.960496588,-8.954742722,-9.005927975,-9.013606429,-9.064000833,-9.067012651,-9.072656605,-9.072478805,-9.066776642,-9.117768324,-9.122360646,-9.173399084,-9.180229071,-9.181713845,-9.232667811,-9.223158401,-9.274160558,-9.324848859,-9.330898549,-9.381452166,-9.41048187,-9.443819932,-9.467497856,-9.461687036,-9.512930753,-9.564155714,-9.559760602,-9.610334911,-9.608279431,-9.65907419,-9.662840481,-9.690571516,-9.74181928,-9.743533971,-9.794411204,-9.78654204,-9.791438338,-9.842105305,-9.850117062,-9.901408042,-9.928260209,-9.977522018,-10.02661599,-10.02025929,-10.02093064,-10.04307457,-10.04415428,-10.04546937,-10.09604119,-10.10012344,-10.10210988,-10.15325946,-10.14846452,-10.18051872,-10.23162854,-10.24037501,-10.29083006,-10.34203028,-10.35205165,-10.4028523,-10.39468661,-10.44551104,-10.45101582,-10.501803,-10.55240627,-10.55371956,-10.58364289,-10.58352822,-10.63387094,-10.63880345,-10.64450203,-10.64032349,-10.64491047,-10.63830806,-10.62993311,-10.63562102,-10.63613611,-10.6266513,-10.6313245,-10.6371756,-10.63259164
4,-8.775240622,-8.825896494,-8.876443007,-8.927146836,-8.977522701,-9.010406263,-9.061245904,-9.111658886,-9.108489042,-9.159556719,-9.153226863,-9.161478813,-9.155411591,-9.146425615,-9.145882445,-9.151847918,-9.146753551,-9.155000813,-9.14708979,-9.197500295,-9.198746092,-9.249448987,-9.247660405,-9.253880009,-9.256066384,-9.254901629,-9.305192701,-9.297563931,-9.348282654,-9.353478063,-9.347951919,-9.398587041,-9.405663661,-9.456024834,-9.507193256,-9.510709456,-9.561922656,-9.59209561,-9.626778997,-9.65138428,-9.656569238,-9.707568288,-9.75805093,-9.753402101,-9.804680314,-9.814622526,-9.865529505,-9.866195634,-9.894939358,-9.945773563,-9.944085624,-9.994653561,-9.99305839,-9.998116611,-10.04859689,-10.04975581,-10.10071087,-10.12864642,-10.17982967,-10.23084279,-10.23119249,-10.22465056,-10.24763427,-10.24759081,-10.25561235,-10.30674725,-10.30433963,-10.30635776,-10.35668659,-10.35860604,-10.39195487,-10.44290638,-10.43422978,-10.48521193,-10.53554852,-10.54084536,-10.59184684,-10.58901989,-10.64007374,-10.6367685,-10.68789791,-10.73904776,-10.73673182,-10.76782556,-10.77084699,-10.8220541,-10.81975573,-10.81989648,-10.81914133,-10.81607353,-10.8078085,-10.81117425,-10.80262909,-10.8007565,-10.79972465,-10.79043903,-10.79942398,-10.78955634,-10.79369284
5,-8.896706748,-8.947448772,-8.998268879,-9.048836297,-9.051040045,-9.102172843,-9.144818803,-9.19516448,-9.188267804,-9.191555008,-9.196181115,-9.186481736,-9.19229088,-9.184989742,-9.185687563,-9.177238876,-9.186882875,-9.186329124,-9.237285845,-9.229125898,-9.279425656,-9.288397233,-9.288665302,-9.283435538,-9.28872328,-9.339825127,-9.336793548,-9.387387304,-9.385943716,-9.379053146,-9.429561609,-9.425409427,-9.47585281,-9.526635583,-9.523393468,-9.57390794,-9.604768477,-9.640315825,-9.665552882,-9.663165429,-9.713534759,-9.764653371,-9.77020531,-9.820974585,-9.821076731,-9.871495073,-9.868906012,-9.898280646,-9.949153742,-9.9497834,-10.00057235,-9.998619163,-10.00378758,-10.05500838,-10.05231667,-10.10310952,-10.13168881,-10.18245582,-10.23343841,-10.24266829,-10.23713542,-10.26061545,-10.26575044,-10.25839696,-10.30959044,-10.30961785,-10.31163942,-10.36198229,-10.36022587,-10.39439984,-10.44481451,-10.44462282,-10.4953941,-10.54581891,-10.54656199,-10.59783507,-10.58930633,-10.63969801,-10.64775688,-10.69863397,-10.74988549,-10.74106741,-10.77291968,-10.76786936,-10.81864683,-10.82081682,-10.81706263,-10.81505655,-10.81187565,-10.80892426,-10.81562736,-10.81436652,-10.80776983,-10.80185016,-10.81109998,-10.81553054,-10.82336864,-10.82057508,-10.82185712
6,-8.9904645,-9.041499455,-9.092470334,-9.143615297,-9.178239538,-9.228951892,-9.279466281,-9.273901011,-9.325030658,-9.326328916,-9.320077047,-9.32647617,-9.333450318,-9.343146914,-9.3398629,-9.340411761,-9.332160396,-9.382479262,-9.375928925,-9.426992391,-9.419056151,-9.428536123,-9.435104134,-9.432848347,-9.483803901,-9.482551606,-9.532846117,-9.523227639,-9.532783703,-9.58408564,-9.575179226,-9.626448124,-9.676964104,-9.670798319,-9.7212628,-9.752997486,-9.789496879,-9.815477955,-9.817588831,-9.868789636,-9.919991894,-9.924923673,-9.975397857,-9.972724702,-10.02307726,-10.01622209,-10.04639403,-10.09712865,-10.09604532,-10.14718668,-10.13891086,-10.14421812,-10.19522691,-10.19026642,-10.24127189,-10.27055818,-10.32112694,-10.37181741,-10.36536108,-10.36467681,-10.38877412,-10.39535493,-10.39147191,-10.4418955,-10.4509468,-10.45301697,-10.50412104,-10.50064975,-10.53575391,-10.58689127,-10.58866939,-10.63902006,-10.69023129,-10.6925591,-10.74332396,-10.75126997,-10.801555,-10.80674911,-10.85793202,-10.90903342,-10.91731218,-10.94999116,-10.94944845,-11.00000601,-10.99666595,-10.99851849,-11.00632507,-10.99971594,-11.00907176,-11.01565949,-11.01520849,-11.01475057,-11.02070481,-11.01691841,-11.01761643,-11.01458011,-11.02271418,-11.01906009,-11.01413671
7,-9.059760994,-9.110891399,-9.161744356,-9.167658709,-9.218071627,-9.260664968,-9.310968888,-9.31162005,-9.306079875,-9.315835199,-9.315476557,-9.320970937,-9.325801306,-9.322408375,-9.314858561,-9.306006812,-9.35695866,-9.349576513,-9.400158754,-9.40232898,-9.406481162,-9.415662993,-9.409121125,-9.460171362,-9.458280054,-9.50925462,-9.503037302,-9.508901627,-9.559565648,-9.551378961,-9.60256448,-9.653823173,-9.650953104,-9.702181274,-9.733106837,-9.768650925,-9.793938359,-9.788370502,-9.839153313,-9.88973888,-9.895063761,-9.946145605,-9.950782457,-10.00205327,-10.00912267,-10.0385059,-10.08911825,-10.08870943,-10.13902363,-10.13470374,-10.13984669,-10.19106799,-10.18502563,-10.23620162,-10.26462363,-10.31519796,-10.36547098,-10.36231167,-10.36191967,-10.38538886,-10.39435353,-10.39860515,-10.44929364,-10.45713102,-10.45915355,-10.51001369,-10.50411815,-10.53825161,-10.58947064,-10.58721426,-10.63775394,-10.68805725,-10.69736227,-10.74805623,-10.73972389,-10.78999083,-10.7931878,-10.84410594,-10.89452011,-10.89918735,-10.93093386,-10.92946597,-10.98019129,-10.99004011,-10.98602008,-10.97806685,-10.97390347,-10.96437084,-10.96098848,-10.97028638,-10.97212217,-10.96558537,-10.97177306,-10.96386505,-10.95415438,-10.94949834,-10.94713165,-10.93808775,-10.93163567
8,-9.112719234,-9.163879723,-9.214238188,-9.246695796,-9.297609432,-9.348043746,-9.35561728,-9.406470365,-9.407338524,-9.409009316,-9.411762344,-9.415931415,-9.413816788,-9.418909996,-9.426833644,-9.477680553,-9.471007767,-9.521271909,-9.530039813,-9.527329623,-9.522061443,-9.525306078,-9.575772114,-9.581236583,-9.632193758,-9.640969265,-9.642346064,-9.693246273,-9.693418297,-9.743887189,-9.795177552,-9.789263781,-9.840107789,-9.869772956,-9.903895216,-9.928208507,-9.937064664,-9.987460488,-10.03843074,-10.0453716,-10.09624064,-10.09845446,-10.14923846,-10.14049208,-10.16865652,-10.21911802,-10.21222968,-10.2627029,-10.26653226,-10.27140922,-10.32254731,-10.31522801,-10.36561252,-10.39284932,-10.44290072,-10.49278044,-10.49241514,-10.4911699,-10.5137265,-10.51143483,-10.51510404,-10.56556323,-10.57544041,-10.57736234,-10.62776757,-10.62548407,-10.65819704,-10.70865664,-10.71042176,-10.76161765,-10.81191621,-10.80592755,-10.85659749,-10.85083568,-10.90188212,-10.89329953,-10.94385519,-10.99430284,-10.9852144,-11.01561593,-11.01497981,-11.06584619,-11.0570886,-11.06649031,-11.05691781,-11.05036226,-11.04519508,-11.04768835,-11.04550743,-11.04055976,-11.0372013,-11.03566312,-11.03918126,-11.03967508,-11.04736808,-11.04993066,-11.0586656,-11.06628101,-11.07495752
9,-9.137404243,-9.187823226,-9.185104894,-9.236120834,-9.276076913,-9.326608212,-9.333592559,-9.325280148,-9.325513749,-9.322610651,-9.318454658,-9.319448618,-9.322997412,-9.317645847,-9.36829801,-9.368515109,-9.41904351,-9.417289234,-9.420231605,-9.428881845,-9.427913933,-9.47831496,-9.473968639,-9.524946796,-9.531345162,-9.527944102,-9.579051753,-9.577782788,-9.628235805,-9.679087981,-9.687801372,-9.738646275,-9.767683195,-9.801038123,-9.824869747,-9.829222118,-9.880405597,-9.931378778,-9.92872971,-9.979636857,-9.970330262,-10.02152535,-10.02117916,-10.04866512,-10.09933771,-10.10327555,-10.15394519,-10.16166306,-10.16637846,-10.21744338,-10.21705872,-10.26780715,-10.2944249,-10.34331885,-10.39203772,-10.39991878,-10.40792106,-10.4299728,-10.42225681,-10.42399049,-10.47496148,-10.47267812,-10.47450032,-10.52540621,-10.53234687,-10.56434167,-10.61560708,-10.61480356,-10.66532946,-10.71590961,-10.71497707,-10.76627667,-10.76797203,-10.81839688,-10.81409423,-10.86477474,-10.91587207,-10.92433065,-10.95404535,-10.96032159,-11.01156422,-11.00833573,-11.00732224,-11.00615062,-10.99681683,-10.99896744,-10.99141605,-10.98151876,-10.9731725,-10.98022641,-10.97956661,-10.98796938,-10.98414988,-10.98021358,-10.97972176,-10.98929503,-10.98728007,-10.98648128,-10.98598163
